Participant,Media,Timeline,AOI,Total_duration_of_fixations,Average_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Average_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Number_of_saccades_in_AOI
1,Presentation1,T,Q,27062,183,148,47104,2.68568,48313,4026,12,47104,52
1,Presentation1,T,T,109471,237,461,531,2.50112,140232,17529,8,531,250
1,Presentation2,T,Q,41271,199,207,1972,2.66267,58705,3090,19,1972,89
1,Presentation2,T,T,65370,219,299,557,2.54222,83952,4938,17,557,148
1,Presentation3,T+A,Q,8427,201,42,68903,2.49707,12075,1342,9,68903,17
1,Presentation3,T+A,T,83647,248,337,0,2.46641,107727,11970,9,0,168
1,Presentation4,T+A,Q,43186,232,186,2042,2.64451,55554,4273,13,2042,113
1,Presentation4,T+A,T,37956,269,141,481,2.54293,47268,4727,10,481,86
1,Presentation5,T+P,P,21612,284,76,0,2.65886,23839,1084,22,0,47
1,Presentation5,T+P,Q,21901,221,99,91920,2.75313,28831,2218,13,91920,63
1,Presentation5,T+P,T,110287,277,398,1675,2.57504,131199,5964,22,1675,310
1,Presentation6,T+P,P,1066,266,4,443,2.93634,1083,361,3,443,1
1,Presentation6,T+P,Q,28929,318,91,1242,2.92335,34007,2834,12,1242,62
1,Presentation6,T+P,T,6807,235,29,0,2.82046,7921,990,8,0,18
1,Presentation7,T+A&P,P,5060,241,21,0,2.68807,5774,1155,5,0,13
1,Presentation7,T+A&P,Q,35874,266,135,73294,2.8344,42657,3555,12,73294,103
1,Presentation7,T+A&P,T,129440,360,360,464,2.67651,153308,15331,10,464,282
1,Presentation8,T+A&P,P,194,194,1,0,3.35395,194,194,1,0,0
1,Presentation8,T+A&P,Q,29814,339,88,1757,2.84175,34096,8524,4,1757,73
1,Presentation8,T+A&P,T,3398,283,12,260,2.91019,3812,953,4,260,7
2,Presentation1,T,Q,33808,264,128,1469,3.1697,40367,4037,10,1469,101
2,Presentation1,T,T,62005,277,224,1935,3.13547,75508,9439,8,1935,188
2,Presentation2,T,Q,75795,258,294,2593,3.30142,93928,4084,23,2593,207
2,Presentation2,T,T,36773,242,152,311,3.15526,44016,5502,8,311,130
2,Presentation3,T+A,Q,32976,210,157,1965,3.27311,52855,1705,31,1965,60
2,Presentation3,T+A,T,27747,226,123,316,3.21816,36148,2781,13,316,78
2,Presentation4,T+A,Q,42136,160,263,2440,3.11388,73122,4301,17,2440,96
2,Presentation4,T+A,T,54827,212,259,644,2.98627,70166,5012,14,644,199
2,Presentation5,T+P,P,11292,257,44,989,2.91849,13121,1458,9,989,27
2,Presentation5,T+P,Q,15655,186,84,6935,3.00064,22207,2776,8,6935,45
2,Presentation5,T+P,T,4197,210,20,623,2.97351,5479,1826,3,623,11
2,Presentation6,T+P,P,616,308,2,15314,2.91021,650,650,1,15314,1
2,Presentation6,T+P,Q,36822,229,161,808,3.23379,55604,4634,12,808,73
2,Presentation6,T+P,T,35150,236,149,0,2.83963,43558,6223,7,0,119
2,Presentation7,T+A&P,P,10026,193,52,24452,2.84954,14956,1662,9,24452,26
2,Presentation7,T+A&P,Q,7228,168,43,2769,3.04816,28691,5738,5,2769,18
2,Presentation7,T+A&P,T,35574,169,210,504,2.80556,71238,5088,14,504,83
2,Presentation8,T+A&P,P,266,266,1,78,3.75067,266,266,1,78,0
2,Presentation8,T+A&P,Q,34742,292,119,2108,3.21883,42950,4295,10,2108,83
2,Presentation8,T+A&P,T,17637,299,59,561,3.1158,22044,7348,3,561,45
3,Presentation1,T,M1-1-A,4164,126,33,108890,3.08247,10854,987,11,108890,3
3,Presentation1,T,M1-1-B,1749,135,13,187766,3.05879,2415,302,8,187766,1
3,Presentation1,T,M1-1-BLANK,300,100,3,707,3.42928,316,158,2,707,1
3,Presentation1,T,M1-1-C,2848,142,20,133759,2.87585,6379,797,8,133759,2
3,Presentation1,T,M1-1-D,883,126,7,189665,2.94476,2365,1182,2,189665,0
3,Presentation1,T,M1-1-DELETE,21118,175,121,1935,2.95829,34609,2163,16,1935,44
3,Presentation1,T,M1-1-DELETE,36873,143,258,76,2.94355,87749,2925,30,76,65
3,Presentation1,T,Q,11575,127,91,98727,2.9941,39013,3901,10,98727,12
3,Presentation1,T,T,60223,153,393,76,2.94963,136476,8028,17,76,118
3,Presentation1,Entire Recording,M1-1-A,4164,126,33,219151,3.08247,10854,987,11,219151,3
3,Presentation1,Entire Recording,M1-1-B,1749,135,13,298027,3.05879,2415,302,8,298027,1
3,Presentation1,Entire Recording,M1-1-BLANK,300,100,3,110968,3.42928,316,158,2,110968,1
3,Presentation1,Entire Recording,M1-1-C,2848,142,20,244020,2.87585,6379,797,8,244020,2
3,Presentation1,Entire Recording,M1-1-D,883,126,7,299926,2.94476,2365,1182,2,299926,0
3,Presentation1,Entire Recording,M1-1-DELETE,21118,175,121,112196,2.95829,34609,2163,16,112196,44
3,Presentation1,Entire Recording,M1-1-DELETE,36873,143,258,110337,2.94355,87749,2925,30,110337,65
3,Presentation1,Entire Recording,Q,11575,127,91,208988,2.9941,39013,3901,10,208988,12
3,Presentation1,Entire Recording,T,60223,153,393,110337,2.94963,136476,8028,17,110337,118
3,Presentation2,T,M1-2-A,7622,152,50,31931,2.9134,13634,568,24,31931,9
3,Presentation2,T,M1-2-B,4413,126,35,36745,2.99255,9810,545,18,36745,4
3,Presentation2,T,M1-2-BLANK,250,125,2,940,3.4936,316,316,1,940,1
3,Presentation2,T,M1-2-C,3248,162,20,35162,2.96098,4397,400,11,35162,4
3,Presentation2,T,M1-2-D,3531,147,24,48903,2.9723,5228,653,8,48903,6
3,Presentation2,T,M1-2-DELETE,250,250,1,2189,2.82691,250,250,1,2189,0
3,Presentation2,T,M1-2-DELETE,48865,165,297,210,2.95479,79765,5697,14,210,120
3,Presentation2,T,Q,26509,145,183,4388,2.94387,54452,2593,21,4388,62
3,Presentation2,T,T,49115,165,298,210,2.95404,80181,5727,14,210,120
3,Presentation2,Entire Recording,M1-2-A,7622,152,50,78715,2.9134,13634,568,24,78715,9
3,Presentation2,Entire Recording,M1-2-B,4413,126,35,83528,2.99255,9810,545,18,83528,4
3,Presentation2,Entire Recording,M1-2-BLANK,250,125,2,47723,3.4936,316,316,1,47723,1
3,Presentation2,Entire Recording,M1-2-C,3248,162,20,81946,2.96098,4397,400,11,81946,4
3,Presentation2,Entire Recording,M1-2-D,3531,147,24,95686,2.9723,5228,653,8,95686,6
3,Presentation2,Entire Recording,M1-2-DELETE,250,250,1,48972,2.82691,250,250,1,48972,0
3,Presentation2,Entire Recording,M1-2-DELETE,48865,165,297,46993,2.95479,79765,5697,14,46993,120
3,Presentation2,Entire Recording,Q,26509,145,183,51171,2.94387,54452,2593,21,51171,62
3,Presentation2,Entire Recording,T,49115,165,298,46993,2.95404,80181,5727,14,46993,120
3,Presentation3,T+A,M2-1-A,8194,264,31,3714,3.05739,9210,614,15,3714,12
3,Presentation3,T+A,M2-1-B,1682,336,5,80192,3.10018,1682,336,5,80192,0
3,Presentation3,T+A,M2-1-BLANK,0,,0,,,0,,0,,0
3,Presentation3,T+A,M2-1-C,0,,0,,,0,,0,,0
3,Presentation3,T+A,M2-1-D,0,,0,,,0,,0,,0
3,Presentation3,T+A,M2-1-DELETE,6579,178,37,1666,3.22065,8794,977,9,1666,16
3,Presentation3,T+A,M2-1-DELETE,26281,170,155,287,3.08514,39749,1472,27,287,64
3,Presentation3,T+A,Q,24216,224,108,3448,3.09739,30242,889,34,3448,46
3,Presentation3,T+A,T,35991,173,208,287,3.11568,53903,1585,34,287,86
3,Presentation3,Entire Recording,M2-1-A,8194,264,31,53641,3.05739,9210,614,15,53641,12
3,Presentation3,Entire Recording,M2-1-B,1682,336,5,130119,3.10018,1682,336,5,130119,0
3,Presentation3,Entire Recording,M2-1-BLANK,0,,0,,,0,,0,,0
3,Presentation3,Entire Recording,M2-1-C,0,,0,,,0,,0,,0
3,Presentation3,Entire Recording,M2-1-D,0,,0,,,0,,0,,0
3,Presentation3,Entire Recording,M2-1-DELETE,6579,178,37,51593,3.22065,8794,977,9,51593,16
3,Presentation3,Entire Recording,M2-1-DELETE,26281,170,155,50214,3.08514,39749,1472,27,50214,64
3,Presentation3,Entire Recording,Q,24216,224,108,53375,3.09739,30242,889,34,53375,46
3,Presentation3,Entire Recording,T,35991,173,208,50214,3.11568,53903,1585,34,50214,86
3,Presentation4,T+A,M2-2-A,9093,162,56,2610,3.19355,10792,284,38,2610,6
3,Presentation4,T+A,M2-2-B,10026,179,56,8506,3.18467,11991,375,32,8506,12
3,Presentation4,T+A,M2-2-BLANK,217,217,1,1130,3.78639,217,217,1,1130,0
3,Presentation4,T+A,M2-2-C,9410,205,46,22196,3.15723,11589,464,25,22196,9
3,Presentation4,T+A,M2-2-D,6629,166,40,26705,3.27525,8544,475,18,26705,8
3,Presentation4,T+A,M2-2-DELETE,67,67,1,2477,2.79684,67,67,1,2477,0
3,Presentation4,T+A,M2-2-DELETE,13857,169,82,250,3.0773,21665,1444,15,250,33
3,Presentation4,T+A,Q,42170,174,243,2610,3.1926,67790,2421,28,2610,89
3,Presentation4,T+A,T,14556,171,85,250,3.07881,22431,1402,16,250,35
